Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,,,
BRN,Brunei,Brunei Darussalam,Brunei Darussalam,BN,Brunei dollar,,East Asia & Pacific,High income,BN,2010,,Value added at producer prices (VAP),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2011,,,Yes,,,2018,,,"('BRN','Brunei','Brunei Darussalam','BN','East Asia & Pacific','High income','BN'),"
BTN,Bhutan,Bhutan,Kingdom of Bhutan,BT,Bhutanese ngultrum,,South Asia,Lower middle income,BT,2000,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2017,"Multiple Indicator Cluster Survey, 2010","Integrated household survey (IHS), 2017",,"2009. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",,2012,,,"('BTN','Bhutan','Kingdom of Bhutan','BT','South Asia','Lower middle income','BT'),"
BWA,Botswana,Botswana,Republic of Botswana,BW,Botswana pula,,Sub-Saharan Africa,Upper middle income,BW,2016,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,Family Health Survey 2007-2008,"Core Welfare Indicator Questionnaire Survey (CWIQ), 2015/16",,2015,2013,2018,,,"('BWA','Botswana','Republic of Botswana','BW','Sub-Saharan Africa','Upper middle income','BW'),"
CAF,Central African Republic,Central African Republic,Central African Republic,CF,Central African CFA franc,,Sub-Saharan Africa,Low income,CF,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2003,"Multiple Indicator Cluster Survey, 2018/19","Priority survey (PS), 2008",,,1993,2017,,,"('CAF','Central African Republic','Central African Republic','CF','Sub-Saharan Africa','Low income','CF'),"
CAN,Canada,Canada,Canada,CA,Canadian dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,North America,High income,CA,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2016,,"Labor force survey (LFS), 2013",Yes,2016,2014,2018,,,"('CAN','Canada','Canada','CA','North America','High income','CA'),"
CEB,Central Europe and the Baltics,Central Europe and the Baltics,Central Europe and the Baltics,B8,,Central Europe and the Baltics aggregate.,,,B8,,,,,,,,,,,,,,,,,,,,,,,"('CEB','Central Europe and the Baltics','Central Europe and the Baltics','B8','','','B8'),"
CHE,Switzerland,Switzerland,Switzerland,CH,Swiss franc,,Europe & Central Asia,High income,CH,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2013,2018,,,"('CHE','Switzerland','Switzerland','CH','Europe & Central Asia','High income','CH'),"
CHI,Channel Islands,Channel Islands,Channel Islands,,Pound sterling,,Europe & Central Asia,High income,JG,,,,,,,,,,,,,,Guernsey: 2015; Jersey: 2011.,,,Yes. Vital registration for Guernsey and Jersey.,,,,,,"('CHI','Channel Islands','Channel Islands','','Europe & Central Asia','High income','JG'),"
CHL,Chile,Chile,Republic of Chile,CL,Chilean peso,,Latin America & Caribbean,High income,CL,Original chained constant price data are rescaled.,2018,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,,Special Data Dissemination Standard Plus (SDDS Plus),2017,,"Integrated household survey (IHS), 2017",Yes,2007,2013,2018,,,"('CHL','Chile','Republic of Chile','CL','Latin America & Caribbean','High income','CL'),"
CHN,China,China,People's Republic of China,CN,Chinese yuan,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",East Asia & Pacific,Upper middle income,CN,2015,,Value added at producer prices (VAP),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"National Sample Survey on Population Changes, 2014","Integrated household survey (IHS), 2015",,2016,2007,2018,,,"('CHN','China','People's Republic of China','CN','East Asia & Pacific','Upper middle income','CN'),"
CIV,Côte d'Ivoire,Côte d'Ivoire,Republic of Côte d'Ivoire,CI,West African CFA franc,,Sub-Saharan Africa,Lower middle income,CI,2015,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2016","Integrated household survey (IHS), 2015",,2014-2015,1997,2018,,,"('CIV','Côte d'Ivoire','Republic of Côte d'Ivoire','CI','Sub-Saharan Africa','Lower middle income','CI'),"
CMR,Cameroon,Cameroon,Republic of Cameroon,CM,Central African CFA franc,,Sub-Saharan Africa,Lower middle income,CM,2016,,Value added at basic prices (VAB),Blend,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Malaria Indicator Survey, 2020/21","Priority survey (PS), 2014",,,2002,2017,,,"('CMR','Cameroon','Republic of Cameroon','CM','Sub-Saharan Africa','Lower middle income','CM'),"
COD,Dem. Rep. Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,CD,Congolese franc,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,ZR,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),,"Multiple Indicator Cluster Survey, 2017/18","1-2-3 survey (1-2-3), 2012/13",,,,,,,"('COD','Dem. Rep. Congo','Democratic Republic of the Congo','CD','Sub-Saharan Africa','Low income','ZR'),"
COG,Congo,"Congo, Rep.",Republic of Congo,CG,Central African CFA franc,,Sub-Saharan Africa,Lower middle income,CG,2005,,Value added at basic prices (VAB),Blend,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2014/15","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",,2014-2015,2009,2017,,,"('COG','Congo','Republic of Congo','CG','Sub-Saharan Africa','Lower middle income','CG'),"
COL,Colombia,Colombia,Republic of Colombia,CO,Colombian peso,,Latin America & Caribbean,Upper middle income,CO,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2018,"Demographic and Health Survey, 2015","Integrated household survey (IHS), 2017",,2015,2012,2018,,,"('COL','Colombia','Republic of Colombia','CO','Latin America & Caribbean','Upper middle income','CO'),"
COM,Comoros,Comoros,Union of the Comoros,KM,Comorian franc,,Sub-Saharan Africa,Lower middle income,KM,2007,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2017,"Demographic and Health Survey, 2012","Integrated household survey (IHS), 2013",,,,2013,,,"('COM','Comoros','Union of the Comoros','KM','Sub-Saharan Africa','Lower middle income','KM'),"
CPV,Cabo Verde,Cabo Verde,Republic of Cabo Verde,CV,Cabo Verde escudo,,Sub-Saharan Africa,Lower middle income,CV,2007,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2005","Income survey (IS), 2015",Yes,2015,,2018,,,"('CPV','Cabo Verde','Republic of Cabo Verde','CV','Sub-Saharan Africa','Lower middle income','CV'),"
CRI,Costa Rica,Costa Rica,Republic of Costa Rica,CR,Costa Rican colon,,Latin America & Caribbean,Upper middle income,CR,Original chained constant price data are rescaled.,2017,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2017",Yes,2014,2013,2018,,,"('CRI','Costa Rica','Republic of Costa Rica','CR','Latin America & Caribbean','Upper middle income','CR'),"
